Date,Image,Size,Species,Confidence,Morph,Price
202410,383cae91bccdad46a7550eedb15a1bd0.jpg,baby,crestedgeko,,undefined,30000.0
202410,c2d5c93927d39a8559f7137624c527d2.jpg,baby,crestedgeko,,undefined,25000.0
202410,3d5fb0e9016a78f9e0d58de7c8d3db1a.jpg,baby,crestedgeko,,undefined,30000.0
202410,08d59bf790e4e86d6537266ff6f1c94c.jpg,baby,crestedgeko,,lily,70000.0
202410,c0655886e5fc2f460d5b1cd8153b3fdb.jpg,baby,crestedgeko,,lily,60000.0
202410,c3a072d20614bddf376308fdb645e33c.jpg,baby,crestedgeko,,lily,80000.0
202410,8727237060a31e634731c665391c7304.jpg,baby,crestedgeko,,lily,70000.0
202410,c924cffb8e45d5b8a272e11bec98183a.jpg,baby,crestedgeko,,undefined,25000.0
202410,e7113f3e0ce6136d6cf75c55585d923a.jpg,baby,crestedgeko,,undefined,28000.0
202410,c1b7540f9f463e3975bdfd14fb95e5b8.jpg,baby,crestedgeko,,undefined,25000.0
202410,1ed83c53ae56c714c8fc7765d6031447.jpg,baby,crestedgeko,,undefined,28000.0
202410,c9e5fd2b30dd67c640601cd5395087cf.jpg,baby,crestedgeko,,undefined,28000.0
202410,892a851f792292abc73ce15710a112bc.jpg,baby,crestedgeko,,undefined,22000.0
202410,c79ba25a9bf142072d3a826d3bb0dad4.jpg,baby,crestedgeko,,undefined,25000.0
202410,db98f1fd41458cbebac6a85c742bba36.jpg,baby,crestedgeko,,lily,70000.0
202410,1a26e72ad3c4904ebb9244eadaddce08.jpg,baby,crestedgeko,,lily,70000.0
202410,94f9ae9499b02a4a272c1332aff20872.jpg,baby,crestedgeko,,lily,60000.0
202410,6aaa41921dbb49690e86e9aee9d93300.jpg,adult,crestedgeko,,lily,620000.0
202410,0037c23584f4b6427e77b636dda66b68.jpg,adult,crestedgeko,,lily,560000.0
202410,817f889712fd2813fd3ad69a884bbe7b.jpg,baby,crestedgeko,,undefined,30000.0
202410,0417026ac661305285b157e1aade161e.jpg,baby,crestedgeko,,undefined,38000.0
202410,fd9d86e2b8d6cce8d5a6406feed58617.jpg,baby,crestedgeko,,undefined,25000.0
202410,8152048d32852e3665abbd9ef4b2c698.jpg,baby,crestedgeko,,undefined,25000.0
202410,5d63cfcdeadfbd6385a4a4d795bf8284.jpg,baby,crestedgeko,,undefined,20000.0
202410,c757595eb22486c5d818c33acc9c5455.jpg,baby,crestedgeko,,undefined,22000.0
202410,507fb22a7357aa854ab020a6d9879a1c.jpg,baby,crestedgeko,,undefined,25000.0
202409,0d6d3af3f4e138e57f1bfd8f5065d1ab.jpg,baby,crestedgeko,,cappucino,120000.0
202409,38debaac757f7ffbe8c12d82f21df6bc.jpg,baby,crestedgeko,,cappucino,120000.0
202409,7e78fb07170d9869fd281c8bbcfd520a.jpg,subadult,snake,,undefined,140000.0
202409,9dc6c5f5d7dd0e15698406c933e206fd.jpg,baby,crestedgeko,,cappucino,350000.0
202409,53131c02fd76e8ea1d3248c275e2d03d.jpg,baby,crestedgeko,,undefined,80000.0
202409,aa89385d502a691751a375b03e22dfb8.jpg,baby,crestedgeko,,undefined,68000.0
202409,3c88c0fab6b8fcbb3200688a6e3b2402.jpg,baby,crestedgeko,,undefined,72000.0
202409,08fbf3cba30a72a0cb2578be63a8c30c.jpg,baby,crestedgeko,,undefined,28000.0
202409,b1163ce9fa363b8a090345bc92148290.jpg,baby,crestedgeko,,undefined,38000.0
202409,45fd1e30d3a3e407dad723cd7271af8e.jpg,baby,crestedgeko,,undefined,48000.0
202409,eda2b6e291734406d38522b195c4e045.jpg,baby,crestedgeko,,undefined,30000.0
202409,f0c3e78c91b6d3c6bcca928ef1f37657.jpg,baby,crestedgeko,,undefined,30000.0
202409,43aa3e3fdb55b4d11f0adf79930da922.jpg,baby,crestedgeko,,undefined,28000.0
202409,7cd1d9d437223dd57c52ce31308b846e.jpg,baby,crestedgeko,,undefined,40000.0
202409,1569277c4d0b46f0b945399fa066d672.jpg,baby,crestedgeko,,undefined,25000.0
202409,b9811ea44f5ef5a8efa83413068ad583.jpg,baby,crestedgeko,,undefined,40000.0
202409,f439fd61e72c6f9b416d0644f0f8a39a.jpg,baby,crestedgeko,,undefined,30000.0
202409,c7fb859c21a02ce50f18b4ce4a72867c.jpg,baby,crestedgeko,,undefined,22000.0
202409,4ff03f1d2d71140307d32479c043f8e8.jpg,baby,crestedgeko,,undefined,30000.0
202409,abcfbc47e227f1bc772cc5b86eb4c7bc.jpg,baby,crestedgeko,,undefined,30000.0
202409,2923a3915dec973eb2ff8afae73c47fd.jpg,babeadult,crestedgeko,,lily,140000.0
202409,31e2d6d5a5416100b6ebabb0f47c5224.jpg,subadult,leachianus,,undefined,1000000.0
202409,fecee1d8231d154dfacdb7168d857bc7.jpg,baby,crestedgeko,,undefined,35000.0
202409,98cf6391c4b39621a7010e27877dbd3a.jpg,baby,crestedgeko,,undefined,60000.0
202409,fd22a61c2d6dc5df380d69b51f46ea54.jpg,baby,crestedgeko,,undefined,25000.0
202409,40e3599ee8e9999b6dca9924c1f6f5a1.jpg,baby,crestedgeko,,undefined,60000.0
202409,ea36248ac937d618dea2f43764bb35a9.jpg,adult,crestedgeko,,lily,470000.0
202409,0522bcb9512bd8c39fa79397c5d06121.jpg,baby,crestedgeko,,undefined,36000.0
202409,5b7ac850396f2913dfb1c8745771e280.jpg,baby,crestedgeko,,undefined,32000.0
202409,7395331a8bc1ebf289d9d773a31d2c0b.jpg,baby,crestedgeko,,undefined,34000.0
202409,8a56b8d5552d56596084a5538fa52fe8.jpg,baby,crestedgeko,,lily,70000.0
202409,222b297bb7815e9276a049f04dcc8ab5.jpg,baby,crestedgeko,,cappucino,140000.0
202409,eab2e6c08050a795b165a8676a220c7e.jpg,baby,crestedgeko,,frapuccino,260000.0
202409,4bf477988df6c6dec4d37fa56aacc4ff.jpg,adult,geko,,undefined,120000.0
202409,1caab053609c5041703daee91673fa34.jpg,adult,crestedgeko,,undefined,140000.0
202409,e7085b7b4d3e5155a07adc0fe9494066.jpg,adult,crestedgeko,,undefined,170000.0
202409,e4220840017f1aebe217aa0d7d206fa3.jpg,adult,crestedgeko,,undefined,170000.0
202409,2692b775e3904f72ff604a93d94edd04.jpg,adult,crestedgeko,,undefined,180000.0
202409,f883fd5aac988acd3ed248f431f6f7f3.jpg,adult,crestedgeko,,undefined,190000.0
202409,e35bf722771984181114f251098d6ef8.jpg,adult,others,,undefined,140000.0
202408,b1a683fe9d3154e179a6938a2d869c0e.jpg,baby,crestedgeko,,undefined,42000.0
202408,d67a97cf2cffee1279e5264ec53c0e67.jpg,baby,crestedgeko,,undefined,45000.0
202408,4a6a00b32a6feb95d7ea7ab187e8f120.jpg,baby,crestedgeko,,undefined,25000.0
202408,7d8373452fbde7b86876e25c50409042.jpg,baby,crestedgeko,,undefined,68000.0
202408,ef13296432585e8660195af1833b92fa.jpg,baby,crestedgeko,,undefined,38000.0
202408,f1dc72ce39b0671af52ded6d6f72db9e.jpg,baby,crestedgeko,,undefined,28000.0
202408,47bb4f51ebf864c9d6e389d4519fcc55.jpg,baby,crestedgeko,,undefined,35000.0
202408,06dbceb24d99de78d01f6768d96ce2fd.jpg,baby,crestedgeko,,undefined,25000.0
202410,f94720fedbeac5ce4c9ab26508ae8813.jpg,babeadult,crestedgeko,,lily,460000.0
202408,5688918419f96712e8ebb0d3c5f72c4a.jpg,babeadult,crestedgeko,,lily,250000.0
202410,88d41db73286a52e87d5a94e88c4fa63.jpg,babeadult,crestedgeko,,lily,280000.0
202408,6edbbaa9c988e4510c8df96e15963b94.jpg,baby,crestedgeko,,lily,90000.0
202408,09e2f3d1ee90c9575e4778b54c2330ce.jpg,baby,crestedgeko,,lily,60000.0
202408,97cc267e32a7eb04abc7ae911623d278.jpg,baby,crestedgeko,,lily,70000.0
202408,7776f1f2015ac1d2a33cf863a49f1f26.jpg,baby,crestedgeko,,undefined,40000.0
202408,ebaf560ee67d11bc18904da930931f9c.jpg,baby,crestedgeko,,undefined,43000.0
202408,1dca1d622d77841d678e435a383cdbe5.jpg,baby,crestedgeko,,undefined,58000.0
202408,6ba0165faf4eafa50f4602d0d72a11b0.jpg,baby,crestedgeko,,undefined,68000.0
202408,d700b046ac9a2a3841cea62a6c27d6c1.jpg,baby,crestedgeko,,undefined,62000.0
202407,a660cdc365152a63bff2e13924240abe.jpg,baby,crestedgeko,,lily,70000.0
202407,759e74f83454c710e477836da5d1026e.jpg,baby,crestedgeko,,undefined,30000.0
202408,7841bdb8d726f20e28278791fe7938b9.jpg,babeadult,crestedgeko,,frapuccino,680000.0
202411,eec72c901942b657243a03c642ca9697.jpg,baby,geko,,stripe,70000.0
202406,f587404e397fe600b158bb22d1d31fee.jpg,baby,crestedgeko,,undefined,60000.0
202406,c558ffe9a9899208bb6bf0376c9373a9.jpg,baby,crestedgeko,,undefined,80000.0
202405,1a88a3a0ba01a78910dcffb9dcab5670.jpg,baby,crestedgeko,,undefined,90000.0
202405,371293eb98a65f532467f4ea3bae32ab.jpg,baby,crestedgeko,,undefined,90000.0
202405,0e797279e509a8aecc518bf7247b9408.jpg,adult,snake,,undefined,160000.0
202405,b17188f8576a3c87060f0f9a4a9a5c7e.jpg,undefined,geko,,undefined,44000.0
202405,8e141def1de93172159a58748120ec22.jpg,undefined,geko,,undefined,25000.0
202405,1c63e8e6120a5bfaf9a6258bf0b101c0.jpg,baby,crestedgeko,,lily,80000.0
202404,d71cfe789cf5c8ebc0e1f2b65f399a6e.jpg,adult,Chahoua,,undefined,250000.0
202404,d6725d4ea7e5c372ce20c3e9318ecc9d.jpg,subadult,turtle,,undefined,100000.0
202403,4befbd1dac595649ed97aeb93edbc8e0.jpg,adult,geko,,undefined,120000.0
202408,0436d3fcb7bb72ac761960fd0e40ff4b.jpg,subadult,crestedgeko,,undefined,380000.0
202407,ac27661755991e8553fca0b16cc9c847.jpg,babeadult,gagole,,undefined,220000.0
202407,9188c514cda0953b06576a2ed3ebda9d.jpg,babeadult,gagole,,undefined,220000.0
202407,149883537d40ac241674672d93b052de.jpg,babeadult,gagole,,undefined,220000.0
202311,5816d33ba6b9121230b5916271fbdfb1.jpg,undefined,snake,,white,270000.0
202307,db3dc4976b3c4213fdc931de94e9514f.jpg,undefined,snake,,undefined,150000.0
202307,0ac78f86bf64007ec65d211e0ed513a6.jpg,undefined,snake,,undefined,100000.0
202307,217a963f13db154c542812fa26b66968.jpg,adult,beardydragon,,red,1090000.0
202307,014a170beadab307bf27ee21c5290e5e.jpg,adult,beardydragon,,red,990000.0
202305,7dd91e992047766d98623d40754dc4a7.jpg,undefined,others,,undefined,30000.0
202404,94022fb2722b0fbd3cd2e239395c481b.jpg,undefined,skink,,undefined,24000.0
202212,250c043042293a890c1819c41c60ebb6.jpg,babeadult,Chamaeleon,,undefined,480000.0
202204,389775fb031be7f68dd30ed56d67db1a.jpg,undefined,skink,,undefined,850000.0
202410,b5db49aef232b0a9d9c1a8aeb133bd14.jpg,undefined,beardydragon,,undefined,80000.0
202411,7d833f3f2fe13cb30ee859f5a353d4f4.jpg,baby,crestedgeko,,lily,60000.0
202411,bf813fc7c7a56d983a5ae9c66ea4171f.jpg,baby,crestedgeko,,lily,100000.0
202411,136ba5a1c740132cb52530b3090f7a41.jpg,baby,crestedgeko,,lily,80000.0
202411,afc1e72cd7b68f034450128f3ee4820a.jpg,baby,crestedgeko,,lily,60000.0
202411,0bfae9596a011cce469acf197d22ae28.jpg,baby,crestedgeko,,undefined,80000.0
202411,4414030daca12a65f17e179ed93c6a5d.jpg,baby,crestedgeko,,lily,90000.0
202410,aa729cb9cb34ed45645f81a95fc6596f.jpg,adult,crestedgeko,,undefined,160000.0
202410,0f472efcb683e87b3e7a080c561c7078.jpg,baby,crestedgeko,,frapuccino,280000.0
202410,0f9e1c44024076def5cfcfc1428bc7b4.jpg,baby,crestedgeko,,frapuccino,150000.0
202410,2febcab6274d040a9ce8880b89610287.jpg,baby,crestedgeko,,undefined,25000.0
202410,9be76cf61b3ba9cf62687e80e5264b96.jpg,baby,crestedgeko,,lily,80000.0
202410,2cf5324f2258a0c65033718a005017c6.jpg,baby,crestedgeko,,lily,60000.0
202410,cde66e03eee9ac4c2987406f77031037.jpg,baby,crestedgeko,,lily,70000.0
202410,01de34b0333408697afa87e745f2908a.jpg,baby,crestedgeko,,lily,70000.0
202410,91f8601e9947921855ca72976d0c6722.jpg,baby,crestedgeko,,lily,70000.0
